Region,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,73.89003562680901,73.5547023197347,73.44114151293785,73.7488082901554,73.89422227674179,73.41774538142505,74.29669352927287,74.2887890721139,74.78350578960362,74.63945800724225,74.4940256839755,74.22643294379533,74.43166739894586,74.44145334434351,74.75408325750644,75.33058596265319,74.37706635622834,73.63346493506495,74.33017506631278,74.69651595444817,74.8688202247191,75.28325705993966,74.94500502288221,74.68020244821045,75.0926282427516,75.19329173166936
Asia,67.262985101258,67.86967758228793,68.34836746936305,69.06291989664079,68.02917794316642,67.71886102847415,67.7372648454114,68.0593221736618,67.91222320637735,68.31447879572667,67.78168187744427,68.7092080732752,68.87105562784653,68.08950858969234,68.72838223632034,68.82422924901194,67.65085130533497,67.23867893253757,67.83878858474073,67.80627186406818,68.66707195203205,68.85475313807517,68.45766962876833,68.45521095982507,68.66720946177617,61.867929235654216
Australia/South Pacific,61.199497487437334,60.95697356426616,61.5770319634703,62.031349206349226,62.09505494505504,61.85794988610487,61.82354557947778,62.172245467224585,61.87516129032253,61.856511839708666,62.34273972602747,62.06666666666677,62.675137362637294,61.76084364970198,62.64679487179492,62.30456829602568,62.133881278538816,61.73904109589048,62.89172382258815,62.8488095238096,62.512728937728944,62.987856485740544,62.966514390132566,62.816666666666556,63.32385150812063,68.11430348258699
Europe,51.539997336174686,50.1384353287009,51.440223281321515,51.86676074827701,52.250955081817665,53.021256743890945,51.981835600689806,52.51161844484635,52.207324736531874,51.790843996552276,51.77056006385517,52.11974517953224,52.90528906141721,52.48594328820634,52.367464847556604,50.53998198697514,52.3157382847041,51.44140801869549,51.21466558032744,52.76514442711795,52.615565126986475,52.00933791147255,52.051640439429875,52.85107337156318,52.863750461424914,45.207751467314424
Middle East,71.61265138408277,72.49777206512431,71.08145723336824,73.706373390558,73.70773162939281,72.49447130544446,74.15565423327423,73.63579093799679,73.6742201294879,73.46997245179065,73.48530749456222,73.61339693897837,73.86138837543656,74.0139894179894,74.55567843470864,76.0582855930406,73.65586854460075,74.30197022767061,74.31550960118155,74.87344923803386,75.46606683804619,75.11718951439633,75.02204639063493,76.23092077087826,74.93275512502827,64.08057464084965
North America,55.58200922685308,54.12301791929875,54.762591636386226,57.499349391366664,56.5694121395566,55.519178017104686,56.31184427791147,55.96369127192455,55.59153550526984,55.778009465124796,56.38192471704706,57.13991661989831,56.42433256932594,55.317227966678395,55.21687128969092,56.250015390347514,56.555955193549735,58.09769311890358,55.43197310456848,55.218495265890084,57.460608740895665,58.29099615531211,57.91925185647846,57.00930470702575,56.77739454955685,47.49680438687707
South/Central America & Carribean,70.64280803080312,70.99755414942808,72.16914556962021,72.14605379467106,71.16159677801441,71.32738372093024,71.98222884659482,72.60814264142198,72.15950782997777,71.9417554783859,72.47670154123068,71.92567316620257,71.40328261650916,71.17617494261192,72.10884497765257,72.29501800023225,72.15305235970878,72.12604679064152,72.49322884012524,72.78028678465317,73.8938533383819,73.61899827288418,73.41705498602049,72.67720547945217,73.19765002098201,74.01666666666665
